campaign_name,budget,roi,type,target_audience,channel,conversion_rate,revenue,duracion_dias,theme,roi_categoria,conversion_categoria,revenue_categoria,budget_categoria,roi_recalculated,start_month,temporada_inicio,net_profit,conversions,costo_por_conversion,costo_clicks,ingresos_por_click,revenue_per_dollar,efficiency_index
Fundamental dedicated encryption,17573.23,0.38,email,B2B,promotion,0.79,460559.74,1,Seguridad,Bajo,Alta,Media,Alto,25.20803005480495,7,Verano,442986.51,363842.1946,0.048299043543642915,14433.583021321705,31.90889880355057,26.20803005480495,0.3002
De-engineered 4thgeneration moratorium,25396.4,0.45,email,B2C,promotion,0.1,292885.55,1,Procesos/Metodología,Bajo,Baja,Poca,Alto,10.532561701658501,9,Otoño,267489.14999999997,29288.555,0.8671100366679066,2780.7627270190214,105.32561701658501,11.532561701658501,0.045000000000000005
Managed upward-trending website,34644.22,0.2,podcast,B2B,referral,0.72,478980.33,1,Gestión/Management,Bajo,Alta,Media,Alto,12.825692424306276,2,Invierno,444336.11,344865.8376,0.10045709439095801,26888.67206470947,17.813461700425382,13.825692424306277,0.144
Self-enabling human-resource infrastructure,60274.59,0.69,webinar,B2B,organic,0.91,974038.96,1,Usuario/Cliente,Medio,Alta,Mucha,Muy Alto,15.160026306275995,4,Primavera,913764.37,886375.4536,0.0680011949283971,58467.93638036469,16.659369567336256,16.160026306275995,0.6279
Cross-platform 24/7 archive,79680.62,0.9,email,B2B,promotion,0.96,435524.36,1,Arquitectura/Infraestructura,Medio,Alta,Media,Muy Alto,4.465875642031902,1,Invierno,355843.74,418103.3856,0.19057635681580093,93621.81554383131,4.651953793783232,5.465875642031902,0.864
Future-proofed local forecast,46775.63,0.67,webinar,B2B,referral,0.75,814672.28,1,Innovación/Generacional,Medio,Alta,Mucha,Alto,16.41659663375993,8,Verano,767896.65,611004.21,0.07655533175458808,37218.689331959315,21.888795511679913,17.41659663375993,0.5025000000000001
Horizontal hybrid instruction set,48366.5,0.21,social media,B2B,promotion,0.87,41004.95,1,Procesos/Metodología,Bajo,Alta,Poca,Alto,-0.15220348795137137,8,Verano,-7361.550000000003,35674.3065,1.3557796841825083,-234385.60429967183,-0.1749465378751395,0.8477965120486286,0.1827
Inverse contextually-based neural-net,84973.4,0.16,podcast,B2C,organic,0.16,390736.64,1,Tecnología/IT,Bajo,Baja,Media,Muy Alto,3.5983406571938983,6,Verano,305763.24,62517.862400000005,1.359185946831093,17374.081099023417,22.489629107461862,4.598340657193899,0.0256
Polarized hybrid system engine,37344.7,0.98,email,B2C,organic,0.43,463541.48,1,Tecnología/IT,Medio,Media,Media,Alto,11.412510476720927,2,Invierno,426196.77999999997,199322.8364,0.18735785961352092,17465.292742256475,26.540722038885878,12.412510476720927,0.4214
Managed analyzing service-desk,14391.98,0.23,email,B2C,promotion,0.83,456537.4,1,Productos/Servicios,Bajo,Alta,Media,Alto,30.72165330969054,7,Verano,442145.42000000004,378926.042,0.037980973606453784,12334.168287761884,37.01404013215728,31.721653309690538,0.1909
Seamless clear-thinking product,99838.63,0.63,email,B2B,organic,0.18,14073.59,1,Productos/Servicios,Medio,Baja,Poca,Muy Alto,-0.8590366274056446,11,Otoño,-85765.04000000001,2533.2462,39.41134106902045,-2948.9385192463733,-4.772425707809137,0.1409633725943555,0.1134
Networked local adapter,29076.12,0.61,social media,B2B,referral,0.1,948309.55,1,Red/Conectividad,Medio,Baja,Mucha,Alto,31.6147212901859,10,Otoño,919233.43,94830.95500000002,0.30661000935823113,2999.582192408516,316.14721290185895,32.6147212901859,0.061
Open-architected neutral open system,87963.28,0.69,podcast,B2B,promotion,0.57,993906.77,1,Arquitectura/Infraestructura,Medio,Media,Mucha,Muy Alto,10.299109924050127,4,Primavera,905943.49,566526.8589,0.1552676252116173,55007.36112904922,18.06861390184233,11.299109924050127,0.3932999999999999
Secured optimal website,53935.8,0.44,social media,B2C,paid,0.4,958654.12,1,Seguridad,Bajo,Baja,Mucha,Muy Alto,16.77398536778911,5,Primavera,904718.32,383461.64800000004,0.14065500495632355,22860.497347062017,41.93496341947277,17.773985367789113,0.17600000000000002
Seamless zero-defect portal,71277.1,0.21,email,B2B,paid,0.56,932824.61,1,Red/Conectividad,Bajo,Media,Mucha,Muy Alto,12.087297463000038,8,Verano,861547.51,522381.78160000005,0.13644637410915403,43217.41755748486,21.584459755357205,13.087297463000036,0.11760000000000001
Configurable eco-centric capability,15968.2,0.53,social media,B2C,paid,0.15,430007.3,1,Productos/Servicios,Medio,Baja,Media,Alto,25.928977592966017,10,Otoño,414039.1,64501.094999999994,0.24756478940396287,2487.6065694737526,172.85985061977345,26.928977592966017,0.0795
Customizable directional paradigm,54468.41,0.7,social media,B2C,paid,0.7,924154.29,1,Procesos/Metodología,Medio,Media,Mucha,Muy Alto,15.966793963693817,1,Invierno,869685.88,646908.003,0.08419807723417513,40515.835832226265,22.80970566241974,16.966793963693817,0.48999999999999994
Cross-platform holistic encryption,29393.78,0.34,podcast,B2B,promotion,0.8,72323.84,1,Arquitectura/Infraestructura,Bajo,Alta,Poca,Alto,1.460515115782999,7,Verano,42930.06,57859.072,0.5080237028343627,39615.52425904273,1.8256438947287488,2.4605151157829988,0.272
Vision-oriented encompassing system engine,9147.79,0.9,email,B2B,referral,0.28,42048.95,1,Tecnología/IT,Medio,Baja,Poca,Medio,3.596623884020074,11,Otoño,32901.159999999996,11773.706,0.7769677618924747,3273.5438510295694,12.845085300071691,4.596623884020074,0.25200000000000006
Ergonomic next generation throughput,68801.22,0.6,social media,B2B,organic,0.65,482216.95,1,Innovación/Generacional,Medio,Media,Media,Muy Alto,6.00884301179543,12,Invierno,413415.73,313441.0175,0.21950292450157707,52163.28948596453,9.244373864300663,7.00884301179543,0.39
Vision-oriented 4thgeneration conglomeration,1309.17,0.91,podcast,B2C,organic,0.27,273231.88,1,Usuario/Cliente,Medio,Baja,Poca,Medio,207.7061878900372,1,Invierno,271922.71,73772.6076,0.017746017696682312,355.17770726723046,769.2821773705082,208.7061878900372,0.24570000000000003
Ameliorated secondary data-warehouse,27168.6,0.74,social media,B2B,organic,0.1,704768.1,1,Datos/Análisis,Medio,Baja,Mucha,Alto,24.940537973984675,4,Primavera,677599.5,70476.81,0.38549701667825204,2825.7934962555314,249.40537973984672,25.940537973984675,0.074
Programmable executive workforce,39682.9,0.95,webinar,B2B,paid,0.7,116505.36,1,Gestión/Management,Medio,Media,Poca,Alto,1.935908413951601,11,Otoño,76822.45999999999,81553.752,0.486585828693694,42126.864789812775,2.765583448502287,2.9359084139516014,0.6649999999999999
Cross-group user-facing application,89227.7,0.9,podcast,B2C,promotion,0.0,617379.96,1,Usuario/Cliente,Medio,Baja,Media,Muy Alto,5.919151339774532,2,Invierno,528152.26,0.0,0.1880669593523614,0.0,19.67016197085956,6.9191513397745315,0.0
Secured systematic architecture,96917.97,0.55,podcast,B2C,promotion,0.39,571977.28,1,Seguridad,Medio,Baja,Media,Muy Alto,4.901663850367481,11,Otoño,475059.31000000006,223071.1392,0.43447113036485535,45509.269099160316,12.568368847096107,5.901663850367481,0.21450000000000002
Seamless bifurcated firmware,28323.41,0.84,webinar,B2B,organic,0.9,984261.3,1,Procesos/Metodología,Medio,Alta,Mucha,Alto,33.75080507608371,9,Otoño,955937.89,885835.17,0.031973679708381865,26246.341916972975,37.500894528981895,34.75080507608371,0.756
Intuitive directional website,63656.18,0.17,podcast,B2B,referral,0.4,77500.94,1,Usuario/Cliente,Bajo,Baja,Poca,Muy Alto,0.2174927870318326,6,Verano,13844.760000000002,31000.376000000004,2.0534002555323845,142535.19127263167,0.5437319675795814,1.2174927870318326,0.068
Mandatory incremental throughput,69084.1,0.51,podcast,B2B,organic,0.98,210953.33,1,Procesos/Metodología,Medio,Alta,Poca,Muy Alto,2.0535728192159985,2,Invierno,141869.22999999998,206734.2634,0.3341686030357366,100670.52965714935,2.0954824685877536,3.0535728192159985,0.4998
Organic 24/7 secured line,65447.41,0.5,email,B2B,paid,0.26,477907.76,1,Seguridad,Bajo,Baja,Media,Muy Alto,6.302164592915135,7,Verano,412460.35,124256.0176,0.5267142088094734,19716.403113255416,24.23909458813513,7.302164592915136,0.13
User-friendly analyzing moratorium,20328.53,0.99,email,B2B,organic,0.97,658107.7,1,Usuario/Cliente,Medio,Alta,Media,Alto,31.3736000586368,4,Primavera,637779.1699999999,638364.4689999999,0.03184470782317304,20347.18578062148,32.343917586223505,32.373600058636804,0.9602999999999999
Programmable discrete intranet,8041.9,0.5,social media,B2B,paid,0.96,567808.35,1,Red/Conectividad,Bajo,Alta,Media,Medio,69.60624354940997,3,Primavera,559766.45,545096.016,0.014753180657992556,7831.13680905742,72.50650369730205,70.60624354940997,0.48
Future-proofed empowering forecast,19030.69,0.39,webinar,B2C,promotion,0.75,472138.22,1,Innovación/Generacional,Bajo,Alta,Media,Alto,23.809306441332396,12,Invierno,453107.52999999997,354103.665,0.053743273173972934,14872.489707859962,31.745741921776528,24.809306441332396,0.2925
Re-engineered solution-oriented core,6124.7,0.87,email,B2B,referral,0.67,397435.21,1,Productos/Servicios,Medio,Media,Media,Medio,63.89055953761001,10,Otoño,391310.51,266281.59070000006,0.023000839013690023,4167.776783098134,95.35904408598508,64.89055953761002,0.5829000000000001
Diverse grid-enabled forecast,11271.19,0.96,social media,B2C,referral,0.81,538367.39,1,Datos/Análisis,Medio,Alta,Media,Alto,46.764911247170886,11,Otoño,527096.2000000001,436077.58590000006,0.02584675379895511,9324.888560039366,57.73445832984059,47.764911247170886,0.7776000000000001
Function-based motivating functionalities,28203.84,0.64,email,B2C,organic,0.24,570246.17,1,Arquitectura/Infraestructura,Medio,Baja,Media,Alto,19.21874219964374,12,Invierno,542042.3300000001,136859.0808,0.20607942005116844,7121.1257936815955,80.07809249851559,20.21874219964374,0.1536
User-centric holistic firmware,99957.15,0.63,webinar,B2C,referral,0.62,430498.24,1,Usuario/Cliente,Medio,Media,Media,Muy Alto,3.3068278757447565,8,Verano,330541.08999999997,266908.9088,0.3744991145083877,80714.48494726607,5.333593347975413,4.306827875744757,0.3906
Virtual real-time architecture,27675.42,0.7,email,B2B,paid,0.1,672667.53,1,Tecnología/IT,Medio,Baja,Media,Alto,23.305594278244016,6,Verano,644992.11,67266.75300000001,0.41142791595723366,2886.2921149706162,233.05594278244013,24.30559427824402,0.06999999999999999
Open-source 6thgeneration secured line,12480.75,0.9,podcast,B2B,promotion,0.82,847778.95,1,Seguridad,Medio,Alta,Mucha,Alto,66.92692346213168,3,Primavera,835298.2,695178.739,0.01795329646869422,10387.131262553,81.61819934406303,67.92692346213168,0.738
Reduced leadingedge architecture,84119.33,0.93,email,B2C,organic,0.64,816593.62,1,Arquitectura/Infraestructura,Medio,Media,Mucha,Muy Alto,8.707562102551222,4,Primavera,732474.29,522619.9168,0.16095699244503037,60019.08578370954,13.605565785236285,9.70756210255122,0.5952000000000001
Fully-configurable 24/7 knowledgebase,6658.22,0.64,webinar,B2C,promotion,0.3,273952.77,1,Tecnología/IT,Medio,Baja,Poca,Medio,40.145046273628694,9,Otoño,267294.55000000005,82185.831,0.08101420791133693,2047.2222261202855,133.81682091209564,41.14504627362869,0.192
Organic 4thgeneration neural-net,53826.21,0.2,podcast,B2B,promotion,0.2,683796.77,1,Tecnología/IT,Bajo,Baja,Mucha,Muy Alto,11.703788173085195,10,Otoño,629970.56,136759.35400000002,0.3935833888188737,11685.050342460987,58.518940865425975,12.703788173085195,0.04000000000000001
Centralized 3rdgeneration budgetary management,85125.0,0.56,webinar,B2C,promotion,0.14,364648.39,1,Gestión/Management,Medio,Baja,Media,Muy Alto,3.2836815271659328,7,Verano,279523.39,51050.774600000004,1.667457559008321,15546.810547142406,23.454868051185233,4.283681527165933,0.07840000000000001
Persevering web-enabled workforce,79220.8,0.6,social media,B2C,paid,0.3,29575.48,1,Red/Conectividad,Medio,Baja,Poca,Muy Alto,-0.6266702684143559,6,Verano,-49645.32000000001,8872.644,8.928657568138652,-14158.393093149563,-2.0889008947145196,0.37332973158564414,0.18
Multi-channeled high-level interface,46560.5,0.67,social media,B2C,paid,0.85,489015.27,1,Red/Conectividad,Medio,Alta,Media,Alto,9.502792495785055,4,Primavera,442454.77,415662.9795,0.11201502730892107,43741.14026843862,11.179755877394182,10.502792495785055,0.5695
Re-contextualized high-level project,56850.62,0.84,social media,B2C,referral,0.98,383111.17,1,Gestión/Management,Medio,Alta,Media,Muy Alto,5.738909267832083,7,Verano,326260.55,375448.94659999997,0.15142037423417826,65421.655767321216,5.856029865134778,6.738909267832083,0.8231999999999999
Right-sized tangible product,94856.15,0.84,email,B2B,referral,0.23,283711.16,1,Productos/Servicios,Medio,Baja,Poca,Muy Alto,1.9909622096195132,11,Otoño,188855.00999999998,65253.5668,1.4536546376189814,32774.889691387165,8.656357433128319,2.9909622096195134,0.1932
Diverse leadingedge initiative,93383.63,0.6,email,B2B,promotion,0.76,749909.68,1,Procesos/Metodología,Medio,Alta,Mucha,Muy Alto,7.030419035970223,10,Otoño,656526.05,569931.3568000001,0.16385066181359473,81066.48464110325,9.250551363118715,8.030419035970223,0.45599999999999996
Intuitive transitional hardware,26183.57,0.47,social media,B2B,referral,0.26,429790.1,1,Tecnología/IT,Bajo,Baja,Media,Alto,15.414495807867299,2,Invierno,403606.52999999997,111745.42599999999,0.2343144676006694,7249.372758787674,59.28652233795115,16.4144958078673,0.1222
Diverse 6thgeneration superstructure,99128.36,0.9,email,B2B,promotion,0.78,852334.6,1,Procesos/Metodología,Medio,Alta,Mucha,Muy Alto,7.598292153728761,8,Verano,753206.24,664820.988,0.1491053408199562,87496.10761857162,9.741400197088154,8.59829215372876,0.7020000000000001
Enhanced 4thgeneration hierarchy,80647.64,0.9,webinar,B2B,referral,0.81,872159.47,1,Procesos/Metodología,Medio,Alta,Mucha,Muy Alto,9.814445035217398,8,Verano,791511.83,706449.1707,0.11415915446554858,71980.55194817764,12.116598808910366,10.814445035217398,0.7290000000000001
Function-based systematic emulation,30883.42,0.63,social media,B2B,paid,0.37,873342.13,1,Procesos/Metodología,Medio,Baja,Mucha,Alto,27.278672828333132,3,Primavera,842458.71,323136.5881,0.0955738877531337,11845.759144278183,73.72614277927873,28.278672828333132,0.2331
Managed asymmetric array,24998.61,0.4,webinar,B2C,organic,0.39,71257.79,1,Gestión/Management,Bajo,Baja,Poca,Alto,1.8504700861367889,10,Otoño,46259.17999999999,27790.538099999998,0.8995367383692366,15018.096378968263,4.744795092658433,2.850470086136789,0.15600000000000003
Enterprise-wide mission-critical utilization,64119.81,0.26,social media,B2B,promotion,0.93,211910.58,1,Arquitectura/Infraestructura,Bajo,Alta,Poca,Muy Alto,2.30491590664414,9,Otoño,147790.77,197076.8394,0.3253543653085396,85502.83280700489,2.4784042006926237,3.30491590664414,0.24180000000000001
Adaptive clear-thinking methodology,60594.85,0.49,social media,B2C,paid,0.82,850376.61,1,Procesos/Metodología,Bajo,Alta,Mucha,Muy Alto,13.033809968999016,5,Primavera,789781.76,697308.8202,0.08689815508517498,53499.998991741675,15.894890206096361,14.033809968999016,0.4018
Networked zero administration model,22411.36,0.51,webinar,B2C,organic,0.4,102385.82,1,Red/Conectividad,Medio,Baja,Poca,Alto,3.56847866439163,11,Otoño,79974.46,40954.32800000001,0.5472281220192404,11476.691288269783,8.921196660979072,4.56847866439163,0.20400000000000001
Seamless well-modulated open architecture,47906.32,0.74,webinar,B2B,promotion,0.45,871834.53,1,Arquitectura/Infraestructura,Medio,Media,Mucha,Alto,17.198737243854257,8,Verano,823928.2100000001,392325.5385,0.12210859426374049,22811.299046980464,38.2194160974539,18.198737243854257,0.333
Exclusive radical installation,28548.76,0.28,email,B2C,promotion,0.6,181056.53,1,Productos/Servicios,Bajo,Media,Poca,Alto,5.342010300972792,8,Verano,152507.77,108633.91799999999,0.26279784919476074,20335.774713915755,8.90335050162132,6.342010300972792,0.168
Intuitive bottom-line algorithm,44251.43,0.72,email,B2B,referral,0.16,846562.3,1,Tecnología/IT,Medio,Baja,Mucha,Alto,18.130733176306393,8,Verano,802310.87,135449.96800000002,0.32669944964475733,7470.738589711792,113.31708235191495,19.130733176306393,0.1152
Compatible stable extranet,32895.11,0.8,podcast,B2C,referral,0.1,136858.12,1,Red/Conectividad,Medio,Baja,Poca,Alto,3.1604396519725877,12,Invierno,103963.01,13685.812,2.4035921288411677,4330.350681259806,31.604396519725878,4.160439651972588,0.08000000000000002
Progressive secondary synergy,55985.9,0.9,social media,B2B,organic,0.59,505421.93,1,Innovación/Generacional,Medio,Media,Media,Muy Alto,8.027664644133612,11,Otoño,449436.02999999997,298198.9387,0.18774681172264013,37146.41205371169,13.606211261243411,9.027664644133612,0.531
Sharable next generation ability,23212.27,0.13,webinar,B2C,referral,0.49,830178.2,1,Innovación/Generacional,Bajo,Media,Mucha,Alto,34.76462793169302,12,Invierno,806965.9299999999,406787.31799999997,0.0570624229735697,11701.184284188876,70.94822026876126,35.76462793169302,0.0637
Devolved value-added support,42051.6,0.32,email,B2B,referral,0.25,287690.5,1,Productos/Servicios,Bajo,Baja,Poca,Alto,5.841368699407395,7,Verano,245638.9,71922.625,0.5846783261873437,12312.632312919492,23.36547479762958,6.841368699407395,0.08
Front-line full-range matrices,79829.52,0.69,email,B2B,paid,0.7,472828.97,1,Procesos/Metodología,Medio,Media,Media,Muy Alto,4.922984003912337,8,Verano,392999.44999999995,330980.279,0.24119116776743066,67231.63811561589,7.032834291303338,5.922984003912337,0.48299999999999993
Grass-roots foreground firmware,96169.66,0.28,podcast,B2C,organic,0.45,455474.93,1,Procesos/Metodología,Bajo,Media,Media,Muy Alto,3.736160344125164,4,Primavera,359305.27,204963.7185,0.46920333366219646,54859.454525898575,8.302578542500363,4.736160344125164,0.12600000000000003
Implemented reciprocal monitoring,72722.22,0.79,email,B2C,organic,0.1,619138.31,1,Datos/Análisis,Medio,Baja,Media,Muy Alto,7.5137432548126295,2,Invierno,546416.0900000001,61913.831000000006,1.1745714782210779,8240.078067658695,75.1374325481263,8.51374325481263,0.07900000000000001
Reverse-engineered foreground approach,52125.2,0.16,webinar,B2C,referral,0.8,27754.76,1,Procesos/Metodología,Bajo,Alta,Poca,Muy Alto,-0.46753662336067775,2,Invierno,-24370.44,22203.808,2.347579298109585,-47491.05608112123,-0.5844207792008471,0.5324633766393222,0.128
Open-source maximized projection,77340.13,0.53,webinar,B2B,referral,0.74,347402.29,1,Datos/Análisis,Medio,Alta,Poca,Muy Alto,3.4918762096727787,3,Primavera,270062.16,257077.6946,0.30084340891704886,73621.65184661302,4.718751634692944,4.491876209672778,0.3922
Intuitive object-oriented moratorium,97763.51,0.23,webinar,B2C,promotion,0.7,244772.45,1,Usuario/Cliente,Bajo,Media,Poca,Muy Alto,1.503719946225335,12,Invierno,147008.94,171340.715,0.5705795613144254,113944.5648972753,2.1481713517504786,2.5037199462253352,0.161
Virtual 4thgeneration Graphical User Interface,15463.29,0.38,social media,B2B,promotion,0.6,963251.51,1,Usuario/Cliente,Bajo,Media,Mucha,Alto,61.29279215483897,7,Verano,947788.22,577950.906,0.02675536942578995,9429.345371311685,102.15465359139829,62.29279215483897,0.22799999999999998
Reactive multi-tasking extranet,51210.38,0.82,email,B2B,referral,0.83,536138.69,1,Procesos/Metodología,Medio,Alta,Media,Muy Alto,9.469336294712127,12,Invierno,484928.30999999994,444995.11269999994,0.11508076951515699,46993.273747020095,11.40883890929172,10.469336294712127,0.6805999999999999
Enhanced heuristic archive,16066.41,0.67,email,B2B,paid,0.3,508865.73,1,Procesos/Metodología,Medio,Baja,Media,Alto,30.67264684518819,5,Primavera,492799.32,152659.71899999998,0.10524328293831067,4977.063758811172,102.24215615062731,31.67264684518819,0.201
Stand-alone bandwidth-monitored capability,89383.19,0.83,social media,B2C,referral,0.77,828963.15,1,Red/Conectividad,Medio,Alta,Mucha,Muy Alto,8.274262308158837,10,Otoño,739579.96,638301.6255000001,0.1400328409472302,77143.02516982121,10.745795205401086,9.27426230815884,0.6391
Open-source coherent archive,46558.0,0.88,podcast,B2B,organic,0.4,315646.86,1,Procesos/Metodología,Medio,Baja,Poca,Alto,5.779648180763778,8,Verano,269088.86,126258.744,0.368750698169467,21845.403050694855,14.449120451909444,6.779648180763778,0.35200000000000004
Future-proofed coherent core,62178.3,0.28,social media,B2C,paid,0.2,317338.48,1,Innovación/Generacional,Bajo,Baja,Poca,Muy Alto,4.10368536933303,9,Otoño,255160.18,63467.695999999996,0.9796842160459079,15466.023899954924,20.51842684666515,5.10368536933303,0.05600000000000001
Decentralized radical emulation,20201.5,0.76,webinar,B2B,promotion,0.89,335385.42,1,Procesos/Metodología,Medio,Alta,Poca,Alto,15.602005791649134,9,Otoño,315183.92,298493.02379999997,0.06767829861757728,19131.708306361885,17.530343586122623,16.602005791649134,0.6764
Team-oriented content-based data-warehouse,43643.99,0.26,social media,B2C,organic,0.55,470023.84,1,Datos/Análisis,Bajo,Media,Media,Alto,9.769497472618797,11,Otoño,426379.85000000003,258513.11200000002,0.1688269877777031,26461.249693194648,17.76272267748872,10.769497472618797,0.14300000000000002
Expanded tangible capacity,20647.17,0.87,email,B2B,organic,0.78,759838.76,1,Procesos/Metodología,Medio,Alta,Mucha,Alto,35.801109304568136,6,Verano,739191.59,592674.2328,0.03483729991509089,16554.633203066034,45.89885808277966,36.801109304568136,0.6786
Secured methodical system engine,29781.93,0.51,webinar,B2C,paid,0.46,567832.12,1,Tecnología/IT,Medio,Media,Media,Alto,18.06633048966269,5,Primavera,538050.19,261202.7752,0.11401842869853245,14457.987212702474,39.27463149926672,19.06633048966269,0.2346
Synergistic well-modulated conglomeration,89003.41,0.87,podcast,B2C,referral,0.18,643537.76,1,Arquitectura/Infraestructura,Medio,Baja,Media,Muy Alto,6.23048431515152,4,Primavera,554534.35,115836.7968,0.7683517885397881,18591.941001810057,34.61380175084178,7.230484315151521,0.1566
Programmable dedicated ability,34838.17,0.55,podcast,B2B,promotion,0.22,286374.76,1,Tecnología/IT,Medio,Baja,Poca,Alto,7.220143595372548,10,Otoño,251536.59000000003,63002.4472,0.5529653457651721,8725.927174132494,32.81883452442067,8.220143595372548,0.12100000000000001
Public-key dynamic synergy,8209.8,0.91,webinar,B2B,paid,0.78,725706.76,1,Usuario/Cliente,Medio,Alta,Mucha,Medio,87.39518136860825,3,Primavera,717496.96,566051.2728,0.0145036331415524,6476.916277712787,112.04510431872852,88.39518136860826,0.7098000000000001
