campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,Categoría,Coincidencias,campaign_name_lower
Intuitive bottom-line algorithm,2022-08-27,2024-05-06,44251.43,0.72,email,B2B,referral,0.16,846562.3,Otros,[],intuitive bottom-line algorithm
Compatible stable extranet,2022-12-24,2023-11-13,32895.11,0.8,podcast,B2C,referral,0.1,136858.12,Otros,[],compatible stable extranet
Progressive secondary synergy,2022-11-08,2024-04-06,55985.9,0.9,social media,B2B,organic,0.59,505421.93,Otros,[],progressive secondary synergy
Sharable next generation ability,2022-12-15,2024-02-19,23212.27,0.13,webinar,B2C,referral,0.49,830178.2,Otros,[],sharable next generation ability
Devolved value-added support,2023-07-02,2024-02-13,42051.6,0.32,email,B2B,referral,0.25,287690.5,Otros,[],devolved value-added support
Front-line full-range matrices,2022-08-04,2023-08-10,79829.52,0.69,email,B2B,paid,0.7,472828.97,Otros,[],front-line full-range matrices
Grass-roots foreground firmware,2023-04-26,2024-04-21,96169.66,0.28,podcast,B2C,organic,0.45,455474.93,Otros,[],grass-roots foreground firmware
Implemented reciprocal monitoring,2023-02-26,2024-06-19,72722.22,0.79,email,B2C,organic,0.1,619138.31,Otros,[],implemented reciprocal monitoring
Reverse-engineered foreground approach,2023-02-22,2024-02-18,52125.2,0.16,webinar,B2C,referral,0.8,27754.76,Otros,[],reverse-engineered foreground approach
Open-source maximized projection,2023-03-23,2024-03-22,77340.13,0.53,webinar,B2B,referral,0.74,347402.29,Otros,[],open-source maximized projection
Intuitive object-oriented moratorium,2022-12-18,2023-08-28,97763.51,0.23,webinar,B2C,promotion,0.7,244772.45,Otros,[],intuitive object-oriented moratorium
Virtual 4thgeneration Graphical User Interface,2023-07-27,2024-03-27,15463.29,0.38,social media,B2B,promotion,0.6,963251.51,Usuario/Cliente,['PRIMARY: user'],virtual 4thgeneration graphical user interface
Reactive multi-tasking extranet,2022-12-26,2023-08-25,51210.38,0.82,email,B2B,referral,0.83,536138.69,Otros,[],reactive multi-tasking extranet
Enhanced heuristic archive,2023-05-05,2023-09-26,16066.41,0.67,email,B2B,paid,0.3,508865.73,Otros,[],enhanced heuristic archive
Stand-alone bandwidth-monitored capability,2022-10-10,2024-03-29,89383.19,0.83,social media,B2C,referral,0.77,828963.15,Red/Conectividad,['SECONDARY: bandwidth'],stand-alone bandwidth-monitored capability
Open-source coherent archive,2022-08-18,2024-06-11,46558.0,0.88,podcast,B2B,organic,0.4,315646.86,Otros,[],open-source coherent archive
Future-proofed coherent core,2022-09-14,2024-05-08,62178.3,0.28,social media,B2C,paid,0.2,317338.48,Innovación/Generacional,[],future-proofed coherent core
Decentralized radical emulation,2022-09-18,2024-04-23,20201.5,0.76,webinar,B2B,promotion,0.89,335385.42,Otros,[],decentralized radical emulation
Team-oriented content-based data-warehouse,2022-11-12,2024-01-15,43643.99,0.26,social media,B2C,organic,0.55,470023.84,Datos/Análisis,"['PRIMARY: data', 'PATTERN: \\bdata-\\w+\\b']",team-oriented content-based data-warehouse
Expanded tangible capacity,2023-06-26,2024-05-07,20647.17,0.87,email,B2B,organic,0.78,759838.76,Otros,[],expanded tangible capacity
Secured methodical system engine,2023-05-30,2024-05-08,29781.93,0.51,webinar,B2C,paid,0.46,567832.12,Tecnología/IT,"['SECONDARY: methodical', 'PATTERN: \\bmethod\\w*\\b']",secured methodical system engine
Synergistic well-modulated conglomeration,2023-04-23,2023-11-23,89003.41,0.87,podcast,B2C,referral,0.18,643537.76,Otros,[],synergistic well-modulated conglomeration
Programmable dedicated ability,2022-10-18,2024-03-26,34838.17,0.55,podcast,B2B,promotion,0.22,286374.76,Otros,[],programmable dedicated ability
Public-key dynamic synergy,2023-03-03,2023-11-16,8209.8,0.91,webinar,B2B,paid,0.78,725706.76,Otros,[],public-key dynamic synergy
Synergistic actuating benchmark,2022-12-14,2023-08-20,13024.35,0.2,email,B2C,organic,0.99,882368.6,Otros,[],synergistic actuating benchmark
Optional client-driven approach,2022-12-30,2024-07-02,9180.95,0.39,webinar,B2C,organic,0.97,93102.44,Usuario/Cliente,['PRIMARY: client'],optional client-driven approach
Cloned exuding matrices,2023-06-03,2024-07-16,46215.77,0.65,email,B2C,paid,0.63,326486.31,Otros,[],cloned exuding matrices
Expanded zero tolerance adapter,2022-09-19,2024-05-07,80474.62,0.86,email,B2C,organic,0.7,394021.52,Otros,[],expanded zero tolerance adapter
Persistent incremental installation,2022-12-22,2024-01-27,12789.78,0.73,email,B2C,paid,0.4,516246.2,Otros,[],persistent incremental installation
Integrated full-range encoding,2023-06-18,2024-03-01,42818.39,0.12,email,B2B,promotion,0.14,778282.87,Otros,[],integrated full-range encoding
Total system-worthy framework,2023-01-16,2023-08-10,77090.58,0.67,email,B2C,organic,0.1,818026.22,Tecnología/IT,[],total system-worthy framework
Persistent disintermediate artificial intelligence,2023-01-23,2023-08-21,10659.15,0.7,email,B2B,promotion,0.84,506589.58,Otros,[],persistent disintermediate artificial intelligence
Self-enabling explicit interface,2023-01-23,2024-06-19,71211.28,0.85,email,B2B,referral,0.94,628222.4,Otros,[],self-enabling explicit interface
User-centric responsive software,2022-09-24,2023-08-04,55105.95,0.39,email,B2B,paid,0.65,980593.34,Usuario/Cliente,['PRIMARY: user'],user-centric responsive software
Enterprise-wide bottom-line forecast,2023-01-27,2024-01-26,22701.3,0.21,email,B2C,promotion,0.86,89740.19,Otros,[],enterprise-wide bottom-line forecast
Upgradable transitional productivity,2022-12-25,2024-05-12,28460.11,0.0,social media,B2B,paid,0.37,593949.35,Otros,[],upgradable transitional productivity
Assimilated asynchronous project,2023-03-30,2024-06-25,81474.69,0.34,email,B2B,paid,0.98,116549.43,Otros,[],assimilated asynchronous project
Reverse-engineered 4thgeneration alliance,2022-10-10,2023-12-12,99406.41,0.77,webinar,B2B,promotion,0.3,485297.93,Otros,[],reverse-engineered 4thgeneration alliance
Networked bi-directional help-desk,2023-03-23,2023-09-24,89764.52,0.5,podcast,B2C,organic,0.8,346320.53,Otros,[],networked bi-directional help-desk
Diverse exuding superstructure,2022-09-07,2023-11-04,11769.71,0.63,webinar,B2B,paid,0.24,155142.36,Otros,[],diverse exuding superstructure
Organized directional service-desk,2022-10-17,2024-05-11,44085.8,0.97,webinar,B2B,referral,0.71,88806.24,Productos/Servicios,['PRIMARY: service'],organized directional service-desk
Balanced 24hour intranet,2022-09-15,2024-04-11,31712.22,0.5,email,B2C,paid,0.12,523802.73,Otros,[],balanced 24hour intranet
Reactive well-modulated portal,2023-02-04,2023-09-02,34455.95,0.4,social media,B2B,organic,0.6,601996.12,Otros,[],reactive well-modulated portal
Realigned intangible application,2023-07-06,2024-01-24,31468.43,0.47,email,B2B,promotion,0.48,147390.21,Otros,[],realigned intangible application
Front-line web-enabled orchestration,2023-01-12,2024-06-13,89740.86,0.37,social media,B2C,paid,0.21,477285.33,Otros,[],front-line web-enabled orchestration
Polarized upward-trending frame,2023-03-23,2024-05-23,6806.2,0.55,webinar,B2B,paid,0.78,519790.34,Otros,[],polarized upward-trending frame
Persevering content-based archive,2022-12-27,2024-01-04,21795.27,0.55,social media,B2B,promotion,0.89,397630.37,Otros,[],persevering content-based archive
De-engineered content-based budgetary management,2022-09-10,2023-10-06,29328.34,0.4,social media,B2B,promotion,0.47,92788.7,Gestión/Management,['PRIMARY: management'],de-engineered content-based budgetary management
Inverse well-modulated forecast,2023-07-22,2024-07-11,7632.49,0.12,webinar,B2B,organic,0.62,782850.48,Otros,[],inverse well-modulated forecast
Progressive web-enabled concept,2022-11-16,2024-05-17,46890.76,0.26,webinar,B2B,organic,0.64,258942.95,Otros,[],progressive web-enabled concept
Visionary 4thgeneration help-desk,2022-11-23,2024-05-26,81853.53,0.54,webinar,B2C,referral,0.17,974972.63,Otros,[],visionary 4thgeneration help-desk
Up-sized attitude-oriented task-force,2023-07-02,2024-04-07,46635.4,0.4,social media,B2C,promotion,0.46,692709.3,Otros,[],up-sized attitude-oriented task-force
Sharable secondary migration,2023-04-04,2023-09-21,31531.6,0.5,webinar,B2C,referral,0.68,551172.95,Otros,[],sharable secondary migration
Quality-focused methodical policy,2022-10-23,2023-10-10,51428.64,0.26,social media,B2C,referral,0.28,110819.1,Otros,"['SECONDARY: methodical', 'PATTERN: \\bmethod\\w*\\b']",quality-focused methodical policy
Distributed multimedia encryption,2022-08-16,2024-01-22,83726.63,0.5,webinar,B2B,organic,0.13,458296.26,Otros,[],distributed multimedia encryption
Switchable user-facing archive,2022-10-22,2024-06-11,85417.27,0.78,webinar,B2C,referral,0.74,509606.8,Usuario/Cliente,['PRIMARY: user'],switchable user-facing archive
Virtual bottom-line parallelism,2022-08-16,2023-09-05,44082.14,0.5,email,B2C,organic,0.49,903002.29,Otros,[],virtual bottom-line parallelism
Customer-focused mobile Graphic Interface,2023-01-19,2023-11-21,61946.3,0.89,webinar,B2C,paid,0.85,217755.18,Usuario/Cliente,['PRIMARY: customer'],customer-focused mobile graphic interface
Networked asynchronous standardization,2023-06-06,2024-01-06,50168.89,0.14,email,B2B,referral,0.67,610750.16,Procesos/Metodología,[],networked asynchronous standardization
Persevering coherent concept,2022-09-15,2023-12-13,54331.15,0.5,social media,B2B,promotion,0.39,992544.71,Otros,[],persevering coherent concept
Secured systemic groupware,2022-08-28,2023-10-17,72529.72,0.83,email,B2C,referral,0.24,97176.72,Otros,[],secured systemic groupware
Team-oriented motivating productivity,2022-09-21,2023-09-06,40881.17,0.35,podcast,B2B,promotion,0.1,689581.23,Otros,[],team-oriented motivating productivity
Seamless exuding model,2022-11-20,2023-08-05,68885.7,0.19,webinar,B2B,organic,0.21,162090.83,Otros,[],seamless exuding model
Cross-platform bandwidth-monitored model,2023-02-23,2023-09-16,48358.0,0.3,email,B2C,paid,0.39,507844.26,Red/Conectividad,"['SECONDARY: platform', 'PATTERN: \\b\\w+-platform\\b']",cross-platform bandwidth-monitored model
Face-to-face high-level synergy,2022-08-15,2024-06-03,98289.74,0.99,webinar,B2B,paid,0.79,811980.83,Otros,[],face-to-face high-level synergy
Compatible eco-centric access,2022-08-24,2023-09-04,4016.62,0.62,social media,B2B,referral,0.99,773055.56,Otros,[],compatible eco-centric access
Down-sized web-enabled data-warehouse,2023-04-08,2024-06-03,41419.79,0.74,social media,B2B,organic,0.35,289139.49,Datos/Análisis,"['PRIMARY: data', 'PATTERN: \\bdata-\\w+\\b']",down-sized web-enabled data-warehouse
Streamlined non-volatile projection,2022-10-17,2024-01-19,52686.92,0.18,social media,B2B,organic,0.28,443069.55,Otros,[],streamlined non-volatile projection
Synergized client-driven algorithm,2023-04-11,2023-12-05,16420.77,0.92,social media,B2C,organic,0.73,632069.31,Usuario/Cliente,['PRIMARY: client'],synergized client-driven algorithm
Cross-platform composite matrix,2022-10-30,2024-02-25,46976.52,0.1,webinar,B2C,organic,0.85,371431.14,Tecnología/IT,"['SECONDARY: platform', 'PATTERN: \\b\\w+-platform\\b']",cross-platform composite matrix
Networked background utilization,2023-03-12,2024-05-19,91122.63,0.5,social media,B2C,organic,0.7,831243.27,Otros,[],networked background utilization
Quality-focused composite challenge,2022-12-01,2024-01-28,4855.98,0.35,podcast,B2B,promotion,0.85,649003.16,Otros,[],quality-focused composite challenge
Enhanced asymmetric open system,2023-04-08,2023-12-20,54503.83,0.5,social media,B2B,promotion,0.9,79089.3,Tecnología/IT,[],enhanced asymmetric open system
Innovative hybrid time-frame,2022-08-12,2023-12-21,12098.23,0.5,email,B2C,paid,0.44,270608.24,Otros,[],innovative hybrid time-frame
Re-engineered intangible intranet,2023-03-06,2024-03-15,14419.22,0.29,podcast,B2C,promotion,0.18,108083.4,Otros,[],re-engineered intangible intranet
Multi-channeled zero administration software,2023-01-09,2023-10-17,59892.4,0.68,email,B2B,promotion,0.66,940283.84,Tecnología/IT,['PRIMARY: software'],multi-channeled zero administration software
Universal national adapter,2022-11-28,2024-07-05,5197.61,0.1,social media,B2C,referral,0.78,61121.6,Otros,[],universal national adapter
Centralized system-worthy knowledgebase,2022-09-16,2024-01-20,6310.87,0.74,email,B2C,paid,0.62,845412.79,Tecnología/IT,[],centralized system-worthy knowledgebase
Open-architected asymmetric time-frame,2023-03-25,2024-06-03,80612.13,0.31,podcast,B2C,promotion,0.97,112762.13,Otros,[],open-architected asymmetric time-frame
Centralized leadingedge Local Area Network,2023-01-31,2023-09-27,80358.87,0.5,webinar,B2B,organic,0.64,112718.32,Red/Conectividad,['PRIMARY: network'],centralized leadingedge local area network
Organized needs-based conglomeration,2022-10-19,2023-10-02,73855.23,0.54,social media,B2B,promotion,0.5,215072.47,Otros,[],organized needs-based conglomeration
Optional secondary collaboration,2023-04-19,2024-02-28,63911.62,0.4,podcast,B2C,organic,0.49,177445.17,Otros,[],optional secondary collaboration
Synchronized client-driven challenge,2023-02-08,2023-08-22,50124.39,0.7,social media,B2B,paid,0.22,639517.42,Usuario/Cliente,['PRIMARY: client'],synchronized client-driven challenge
Enterprise-wide zero administration Graphic Interface,2022-11-24,2024-05-11,38086.24,0.65,podcast,B2C,paid,0.71,684590.46,Otros,[],enterprise-wide zero administration graphic interface
Programmable local moratorium,2023-03-27,2023-08-15,48046.33,0.9,podcast,B2C,promotion,0.45,50534.85,Otros,[],programmable local moratorium
Networked systematic attitude,2022-11-01,2023-10-02,63808.2,0.67,email,B2B,promotion,0.17,275542.3,Otros,['SECONDARY: systematic'],networked systematic attitude
Pre-emptive solution-oriented standardization,2023-01-31,2023-12-24,26057.53,0.94,email,B2B,referral,0.32,169915.72,Procesos/Metodología,[],pre-emptive solution-oriented standardization
Down-sized contextually-based strategy,2022-12-07,2024-01-20,56381.6,0.7,social media,B2C,referral,0.41,492601.2,Gestión/Management,['SECONDARY: strategy'],down-sized contextually-based strategy
Reverse-engineered zero administration workforce,2022-10-11,2023-10-14,57815.1,0.62,webinar,B2B,promotion,0.65,962065.9,Otros,[],reverse-engineered zero administration workforce
Pre-emptive real-time database,2023-07-28,2023-09-11,75262.37,0.75,webinar,B2B,referral,0.7,421847.27,Otros,[],pre-emptive real-time database
Business-focused foreground budgetary management,2023-06-14,2023-12-10,43226.59,0.95,social media,B2B,referral,0.53,573462.79,Gestión/Management,['PRIMARY: management'],business-focused foreground budgetary management
Stand-alone multi-tasking methodology,2022-11-02,2024-05-03,84506.27,0.8,podcast,B2C,organic,0.63,375663.38,Procesos/Metodología,"['PRIMARY: methodology', 'PATTERN: \\bmethod\\w*\\b']",stand-alone multi-tasking methodology
Proactive eco-centric process improvement,2023-01-08,2023-12-27,36457.88,0.28,social media,B2B,organic,0.73,905182.53,Procesos/Metodología,[],proactive eco-centric process improvement
Digitized human-resource knowledge user,2023-02-04,2024-01-25,10038.96,0.36,podcast,B2B,promotion,0.7,911686.87,Usuario/Cliente,['PRIMARY: user'],digitized human-resource knowledge user
Ergonomic next generation hub,2022-12-18,2024-01-27,27079.85,0.32,social media,B2C,referral,0.3,784636.2,Otros,[],ergonomic next generation hub
Realigned radical hardware,2022-11-03,2024-07-12,34512.86,0.2,webinar,B2B,referral,0.87,999712.49,Tecnología/IT,['PRIMARY: hardware'],realigned radical hardware
Grass-roots national approach,2022-08-29,2024-03-21,16063.49,0.99,email,B2B,promotion,0.69,868083.16,Otros,[],grass-roots national approach
Synergistic mobile task-force,2022-11-02,2023-11-20,61343.2,0.91,social media,B2B,referral,0.73,943514.25,Otros,[],synergistic mobile task-force
